Supplementary Table 2. List of genes with pathogenic variant frequencies in Pan-cancer compared to controls																		
																		
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Case-control (PTVs)					Case-control (ClinVar Pathogenic variants)					Case-control (PTVs + ClinVar Pathogenic variants)				
				PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR
EMR2	ENSG00000127507	OMIM	AD	0.15	0.36	-0.75	0.369	0.427	-	-	-	-	-	0.15	0.36	-0.75	0.369	0.425
ENO3	ENSG00000108515	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.90	0.561	0.620
ENPEP	ENSG00000138792	SOD	Not OMIM	0.19	0.00	2.06	0.197	0.232	-	-	-	-	-	0.19	0.00	2.06	0.197	0.232
EPB42	ENSG00000166947	OMIM	Other	0.11	0.00	2.32	0.167	0.199	-	-	-	-	-	0.11	0.00	2.32	0.167	0.198
EPHX2	ENSG00000120915	OMIM	AD	0.11	0.00	1.09	0.520	0.582	-	-	-	-	-	0.11	0.00	1.09	0.520	0.579
EPX	ENSG00000121053	OMIM	AR	0.15	0.24	-0.58	0.577	0.640	-	-	-	-	-	0.15	0.24	-0.58	0.577	0.636
ERBB4	ENSG00000178568	OMIM	AD	-	-	-	-	-	0.08	0.04	0.91	0.494	0.555	0.08	0.12	-0.19	0.877	0.897
ERCC2	ENSG00000104884	SOD	Not OMIM	0.19	0.08	0.03	0.976	0.979	0.15	0.04	0.67	0.598	0.658	0.30	0.12	0.22	0.812	0.837
ERCC3	ENSG00000163161	CPG	Not OMIM	0.15	0.00	1.51	0.359	0.416	-	-	-	-	-	0.15	0.00	1.51	0.359	0.414
ERCC4	ENSG00000175595	CPG	Not OMIM	0.11	0.08	0.68	0.630	0.690	0.11	0.00	1.05	0.540	0.600	0.23	0.08	1.07	0.409	0.466
ERMAP	ENSG00000164010	OMIM	Other	0.00	0.12	-1.87	0.248	0.292	-	-	-	-	-	0.00	0.12	-1.87	0.248	0.291
ESR2	ENSG00000140009	OMIM	AD	0.19	0.00	2.24	0.159	0.189	-	-	-	-	-	0.19	0.00	2.24	0.159	0.188
ETFA	ENSG00000140374	OMIM	AR	0.15	0.00	1.27	0.445	0.507	-	-	-	-	-	0.15	0.00	1.27	0.445	0.504
ETFDH	ENSG00000171503	OMIM	AR	0.11	0.08	-0.60	0.617	0.678	0.11	0.04	0.28	0.834	0.857	0.15	0.12	-0.65	0.541	0.601
ETV4	ENSG00000175832	SOD	Not OMIM	0.00	0.44	-1.72	0.264	0.309	-	-	-	-	-	0.00	0.44	-1.72	0.264	0.308
EVC2	ENSG00000173040	OMIM	ADAR	0.11	0.04	0.31	0.820	0.846	0.04	0.08	-0.33	0.817	0.842	0.11	0.08	0.08	0.948	0.956
EXOSC2	ENSG00000130713	OMIM	AR	0.04	0.08	1.09	0.452	0.515	-	-	-	-	-	0.04	0.08	1.09	0.452	0.512
EXTL3	ENSG00000012232	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-1.29	0.360	0.415
EYS	ENSG00000188107	OMIM	AR	0.49	0.16	2.22	0.018	0.021	0.42	0.12	2.18	0.018	0.022	0.61	0.24	1.81	0.018	0.022
F11	ENSG00000088926	OMIM	ADAR	0.08	0.12	0.36	0.787	0.816	0.19	0.24	0.96	0.388	0.446	0.26	0.32	0.87	0.359	0.415
F2	ENSG00000180210	OMIM	ADAR	-	-	-	-	-	0.30	0.08	0.49	0.640	0.697	0.30	0.08	0.49	0.640	0.695
F5	ENSG00000198734	OMIM	AD	0.08	0.04	1.15	0.471	0.534	-	-	-	-	-	0.08	0.08	0.68	0.623	0.681
F7	ENSG00000057593	OMIM	AR	-	-	-	-	-	0.23	0.56	-0.81	0.312	0.362	0.26	0.60	-0.71	0.359	0.414
FAH	ENSG00000103876	CPG	Not OMIM	0.15	0.00	1.41	0.391	0.450	0.23	0.00	3.30	0.048	0.057	0.26	0.00	3.33	0.045	0.053
FAM111A	ENSG00000166801	OMIM	AD	0.34	0.00	2.24	0.149	0.177	-	-	-	-	-	0.34	0.00	2.24	0.149	0.177
FAM111B	ENSG00000189057	OMIM	AD	0.08	0.16	0.62	0.618	0.679	-	-	-	-	-	0.08	0.16	0.62	0.618	0.676
FAM135B	ENSG00000147724	SOD	Not OMIM	0.08	0.04	0.55	0.714	0.766	-	-	-	-	-	0.08	0.04	0.55	0.714	0.764
FAM161A	ENSG00000170264	OMIM	Other	0.15	0.20	-0.17	0.887	0.906	0.08	0.08	-0.63	0.637	0.695	0.15	0.20	-0.17	0.887	0.905
FAM166A	ENSG00000188163	SOD	Not OMIM	0.00	0.16	-0.09	0.963	0.968	-	-	-	-	-	0.00	0.16	-0.09	0.963	0.968
FAM186A	ENSG00000185958	SOD	Not OMIM	0.19	0.16	0.78	0.488	0.550	-	-	-	-	-	0.19	0.16	0.78	0.488	0.547
FAM20A	ENSG00000108950	OMIM	AR	0.11	0.08	0.47	0.722	0.773	0.04	0.08	-0.12	0.937	0.948	0.11	0.08	0.47	0.722	0.770
FAM83H	ENSG00000180921	OMIM	AD	0.38	0.08	1.42	0.189	0.224	-	-	-	-	-	0.38	0.08	1.42	0.189	0.223
FAN1	ENSG00000198690	OMIM	AR	0.19	0.08	1.30	0.279	0.326	-	-	-	-	-	0.19	0.08	1.30	0.279	0.326
FANCA	ENSG00000187741	CPG	Not OMIM	0.11	0.04	0.58	0.652	0.709	0.19	0.04	0.48	0.704	0.757	0.26	0.08	0.32	0.760	0.796
FANCC	ENSG00000158169	CPG	Not OMIM	0.15	0.00	1.40	0.394	0.454	0.15	0.00	1.40	0.394	0.453	0.15	0.00	1.40	0.394	0.451
FANCM	ENSG00000187790	CPG	Not OMIM	0.15	0.20	-1.13	0.257	0.301	-	-	-	-	-	0.15	0.20	-1.13	0.257	0.300
FAT1	ENSG00000083857	SOD	Not OMIM	0.15	0.08	0.24	0.839	0.863	-	-	-	-	-	0.15	0.08	0.24	0.839	0.862
FAT2	ENSG00000086570	OMIM	AD	0.15	0.04	0.60	0.648	0.706	-	-	-	-	-	0.15	0.04	0.60	0.648	0.703
FBLN2	ENSG00000163520	SOD	Not OMIM	0.00	0.76	-2.30	0.126	0.150	-	-	-	-	-	0.00	0.76	-2.30	0.126	0.150
FBN2	ENSG00000138829	OMIM	AD	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.73	0.623	0.680
FBXL4	ENSG00000112234	OMIM	AR	0.15	0.00	1.23	0.462	0.524	0.15	0.00	1.24	0.454	0.514	0.19	0.00	1.40	0.391	0.447
FCGR3B	ENSG00000162747	OMIM	Other	0.00	0.16	-0.83	0.616	0.677	-	-	-	-	-	0.00	0.16	-0.83	0.616	0.675
FCRL4	ENSG00000163518	SOD	Not OMIM	0.11	0.08	0.26	0.838	0.862	-	-	-	-	-	0.11	0.08	0.26	0.838	0.861
FDXR	ENSG00000161513	OMIM	AR	0.04	0.12	-1.85	0.186	0.220	-	-	-	-	-	0.04	0.12	-1.85	0.186	0.220
FFAR4	ENSG00000186188	OMIM	Other	0.11	0.00	1.14	0.499	0.561	-	-	-	-	-	0.11	0.00	1.14	0.499	0.558
FGA	ENSG00000171560	OMIM	ADAR	0.08	0.08	-0.25	0.849	0.873	-	-	-	-	-	0.08	0.08	-0.25	0.849	0.871
FGD4	ENSG00000139132	OMIM	AR	0.11	0.04	1.10	0.488	0.551	-	-	-	-	-	0.11	0.04	1.10	0.488	0.548
FGG	ENSG00000171557	OMIM	AR	-	-	-	-	-	1.21	0.84	-0.95	0.027	0.032	1.21	0.84	-0.95	0.027	0.032
FIG4	ENSG00000112367	OMIM	AR	0.08	0.08	0.13	0.928	0.942	0.42	0.20	0.10	0.907	0.924	0.49	0.24	0.16	0.842	0.865
FKBP14	ENSG00000106080	OMIM	AR	0.15	0.20	-1.19	0.247	0.291	0.15	0.20	-1.19	0.247	0.290	0.15	0.20	-1.19	0.247	0.290
FKRP	ENSG00000181027	OMIM	AR	-	-	-	-	-	0.04	0.28	-2.47	0.050	0.060	0.08	0.28	-1.90	0.082	0.097
FLAD1	ENSG00000160688	OMIM	AR	0.04	0.12	0.71	0.599	0.661	-	-	-	-	-	0.04	0.12	0.71	0.599	0.658
FLG	ENSG00000143631	OMIM	AD	0.49	0.76	-0.56	0.369	0.427	-	-	-	-	-	0.49	0.76	-0.56	0.369	0.424
FLG2	ENSG00000143520	OMIM	AR	0.53	0.24	1.69	0.074	0.088	-	-	-	-	-	0.53	0.24	1.69	0.074	0.088
FLNB	ENSG00000136068	OMIM	AD	0.15	0.00	1.32	0.422	0.483	-	-	-	-	-	0.15	0.00	1.32	0.422	0.480
FMO3	ENSG00000007933	OMIM	AR	0.08	0.08	-0.34	0.806	0.832	0.26	0.08	-0.04	0.968	0.972	0.34	0.12	0.24	0.806	0.831
FOXE1	ENSG00000178919	OMIM	ADAR	0.00	0.40	-2.72	0.083	0.100	-	-	-	-	-	0.00	0.48	-3.76	0.017	0.020
FOXRED1	ENSG00000110074	OMIM	AR	-	-	-	-	-	0.00	0.24	-0.28	0.875	0.893	0.04	0.28	0.34	0.802	0.827
FREM1	ENSG00000164946	OMIM	ADAR	0.11	0.08	-0.43	0.707	0.760	-	-	-	-	-	0.11	0.12	-0.66	0.539	0.599
FREM2	ENSG00000150893	OMIM	AR	0.15	0.00	2.94	0.096	0.115	-	-	-	-	-	0.15	0.00	2.94	0.096	0.115
FSCN2	ENSG00000186765	OMIM	Other	0.11	0.04	0.54	0.700	0.754	-	-	-	-	-	0.11	0.04	0.54	0.700	0.751
FTCD	ENSG00000160282	OMIM	AR	0.08	0.04	1.50	0.316	0.369	0.11	0.00	1.14	0.500	0.562	0.15	0.04	1.73	0.222	0.260
FTO	ENSG00000140718	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-1.07	0.481	0.541
FUCA1	ENSG00000179163	OMIM	AR	0.11	0.08	0.10	0.937	0.949	-	-	-	-	-	0.15	0.08	0.31	0.805	0.830
FUK	ENSG00000157353	OMIM	AR	0.15	0.40	-0.16	0.855	0.879	-	-	-	-	-	0.19	0.44	-0.40	0.635	0.692
FUT1	ENSG00000174951	OMIM	AR	0.00	0.12	-1.76	0.275	0.321	0.04	0.12	0.26	0.875	0.893	0.04	0.24	-1.26	0.330	0.383
FUT2	ENSG00000176920	OMIM	AR	0.23	0.24	0.76	0.369	0.427	-	-	-	-	-	0.23	0.24	0.76	0.369	0.425
FUZ	ENSG00000010361	OMIM	AD	-	-	-	-	-	-	-	-	-	-	0.00	0.12	-2.32	0.169	0.200
FYCO1	ENSG00000163820	OMIM	AR	0.23	0.00	3.82	0.026	0.031	-	-	-	-	-	0.23	0.00	3.82	0.026	0.031
FZD4	ENSG00000174804	OMIM	AD	-	-	-	-	-	0.23	0.04	1.17	0.338	0.391	0.23	0.04	1.17	0.338	0.391
G6PC	ENSG00000131482	OMIM	AR	0.15	0.00	1.24	0.456	0.518	0.34	0.00	2.57	0.100	0.119	0.34	0.00	2.57	0.100	0.119
GAA	ENSG00000171298	OMIM	AR	-	-	-	-	-	0.23	0.52	-1.04	0.204	0.241	0.23	0.52	-1.04	0.204	0.240
GABBR2	ENSG00000136928	OMIM	AD	0.00	0.16	-0.85	0.608	0.670	-	-	-	-	-	0.00	0.16	-0.85	0.608	0.667
GALC	ENSG00000054983	OMIM	AR	0.11	0.04	0.94	0.564	0.627	0.04	0.12	-0.78	0.572	0.632	0.15	0.16	-0.11	0.920	0.934
GALNS	ENSG00000141012	OMIM	AR	-	-	-	-	-	0.34	0.28	-0.54	0.528	0.589	0.34	0.28	-0.54	0.528	0.588
GAMT	ENSG00000130005	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.65	0.668	0.721
GAS2L2	ENSG00000132139	OMIM	AR	-	-	-	-	-	0.08	0.16	-1.43	0.216	0.255	0.11	0.16	-1.12	0.297	0.345
GBA2	ENSG00000070610	OMIM	AR	0.19	0.04	0.28	0.823	0.848	-	-	-	-	-	0.19	0.04	0.28	0.823	0.847
GCDH	ENSG00000105607	OMIM	AR	-	-	-	-	-	0.26	0.20	-0.06	0.946	0.957	0.26	0.20	-0.06	0.946	0.955
GCKR	ENSG00000084734	OMIM	Other	0.64	0.32	-0.10	0.875	0.896	-	-	-	-	-	0.64	0.32	-0.10	0.875	0.894
GCNT2	ENSG00000111846	OMIM	AD	0.30	0.20	0.56	0.485	0.548	-	-	-	-	-	0.30	0.20	0.56	0.485	0.545
GDAP1	ENSG00000104381	OMIM	AR	-	-	-	-	-	0.08	0.08	-0.41	0.761	0.796	0.08	0.08	-0.41	0.761	0.797
GDF3	ENSG00000184344	OMIM	AD	-	-	-	-	-	0.00	0.44	-0.59	0.726	0.775	0.00	0.48	-1.22	0.458	0.517
GDF6	ENSG00000156466	OMIM	AD	-	-	-	-	-	0.08	0.04	0.60	0.717	0.768	0.08	0.04	0.60	0.717	0.766
GDNF	ENSG00000168621	OMIM	AD	0.08	0.08	0.80	0.607	0.668	-	-	-	-	-	0.08	0.08	0.80	0.607	0.665
GFAP	ENSG00000131095	OMIM	AD	-	-	-	-	-	0.11	0.12	-0.01	0.993	0.994	0.19	0.12	0.79	0.468	0.528
GFER	ENSG00000127554	OMIM	Other	0.11	0.00	1.17	0.487	0.550	-	-	-	-	-	0.15	0.00	1.34	0.416	0.473
GFM1	ENSG00000168827	OMIM	AR	0.11	0.04	1.65	0.270	0.316	-	-	-	-	-	0.15	0.08	1.29	0.313	0.364
GGCX	ENSG00000115486	OMIM	AR	0.15	0.00	1.82	0.264	0.310	-	-	-	-	-	0.15	0.00	1.82	0.264	0.309
GHRHR	ENSG00000106128	OMIM	Other	0.11	0.04	2.65	0.146	0.174	0.04	0.08	0.46	0.784	0.812	0.11	0.08	0.86	0.571	0.630
GIGYF2	ENSG00000204120	OMIM	Other	-	-	-	-	-	0.30	0.08	0.58	0.569	0.628	0.30	0.08	0.58	0.569	0.628
GINS1	ENSG00000101003	OMIM	AR	-	-	-	-	-	0.08	0.08	-1.12	0.369	0.425	0.08	0.08	-1.12	0.369	0.424
GJB2	ENSG00000165474	CPG	Not OMIM	0.26	0.20	2.27	0.030	0.036	0.76	0.56	1.28	0.073	0.087	0.76	0.56	1.28	0.073	0.087
GJB3	ENSG00000188910	OMIM	ADAR	0.08	0.04	0.53	0.696	0.750	-	-	-	-	-	0.08	0.04	0.53	0.696	0.747
GJB4	ENSG00000189433	OMIM	AD	0.45	0.28	0.79	0.378	0.437	-	-	-	-	-	0.45	0.28	0.79	0.378	0.434
GLB1	ENSG00000170266	OMIM	AR	-	-	-	-	-	0.15	0.24	-1.27	0.163	0.193	0.15	0.24	-1.27	0.163	0.193
GLDN	ENSG00000186417	OMIM	AR	0.15	0.04	1.07	0.498	0.560	-	-	-	-	-	0.15	0.04	1.07	0.498	0.557
GLE1	ENSG00000119392	OMIM	AR	0.08	0.04	1.61	0.304	0.354	-	-	-	-	-	0.08	0.04	1.61	0.304	0.353
GLRA1	ENSG00000145888	OMIM	ADAR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	-0.40	0.778	0.809
GMPPB	ENSG00000173540	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.11	0.00	1.41	0.397	0.453
GNAT1	ENSG00000114349	OMIM	ADAR	0.04	0.08	0.69	0.634	0.694	-	-	-	-	-	0.04	0.08	0.69	0.634	0.691
GNB4	ENSG00000114450	OMIM	AD	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.87	0.509	0.568
GNE	ENSG00000159921	OMIM	ADAR	-	-	-	-	-	0.30	0.20	0.55	0.516	0.577	0.30	0.20	0.55	0.516	0.575
GNMT	ENSG00000124713	OMIM	AR	-	-	-	-	-	0.15	0.00	1.25	0.453	0.512	0.15	0.00	1.25	0.453	0.512
GNPTAB	ENSG00000111670	OMIM	AR	0.23	0.00	2.18	0.168	0.200	0.34	0.04	1.19	0.314	0.364	0.38	0.04	1.29	0.270	0.315
GNRHR	ENSG00000109163	OMIM	AR	-	-	-	-	-	0.11	0.04	1.17	0.452	0.512	0.11	0.08	1.01	0.487	0.547
GPD2	ENSG00000115159	OMIM	AD	0.04	0.16	-2.02	0.141	0.168	-	-	-	-	-	0.04	0.16	-2.02	0.141	0.168
GPNMB	ENSG00000136235	OMIM	AR	0.34	0.16	0.57	0.512	0.574	0.08	0.12	-0.70	0.540	0.600	0.34	0.16	0.57	0.512	0.571
GPR179	ENSG00000188888	OMIM	AR	0.26	0.04	0.80	0.502	0.565	-	-	-	-	-	0.26	0.04	0.80	0.502	0.562
GPR56	ENSG00000205336	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	0.41	0.764	0.800
GPR68	ENSG00000119714	OMIM	AR	0.04	0.12	-1.65	0.233	0.274	-	-	-	-	-	0.04	0.12	-1.65	0.233	0.273
GPR98	ENSG00000164199	OMIM	AR	0.23	0.00	3.21	0.101	0.120	-	-	-	-	-	0.23	0.00	3.21	0.101	0.120
GPSM2	ENSG00000121957	OMIM	AR	0.15	0.00	1.60	0.327	0.381	-	-	-	-	-	0.15	0.00	1.60	0.327	0.379
GREM2	ENSG00000180875	OMIM	AD	-	-	-	-	-	0.04	0.12	-0.79	0.526	0.587	0.04	0.12	-0.79	0.526	0.586
GRHPR	ENSG00000137106	OMIM	AR	-	-	-	-	-	0.00	0.16	-0.11	0.953	0.962	0.00	0.16	-0.11	0.953	0.960
GRM6	ENSG00000113262	OMIM	AR	0.19	0.04	0.62	0.620	0.680	0.11	0.04	0.71	0.589	0.649	0.26	0.04	1.19	0.325	0.378
GSS	ENSG00000100983	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.11	0.00	3.82	0.053	0.063
GUCA1B	ENSG00000112599	OMIM	Other	0.04	0.16	-2.33	0.076	0.090	-	-	-	-	-	0.04	0.16	-2.33	0.076	0.090
GUCY2C	ENSG00000070019	OMIM	ADAR	0.19	0.08	1.80	0.147	0.175	-	-	-	-	-	0.19	0.08	1.80	0.147	0.175
GUCY2D	ENSG00000132518	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	-0.08	0.953	0.960
GUF1	ENSG00000151806	OMIM	AR	0.26	0.04	1.72	0.172	0.204	-	-	-	-	-	0.26	0.04	1.72	0.172	0.203
GYG1	ENSG00000163754	OMIM	AR	0.11	0.04	0.97	0.531	0.594	0.42	0.08	0.28	0.773	0.805	0.45	0.12	0.36	0.705	0.756
GYS2	ENSG00000111713	OMIM	AR	0.11	0.08	0.21	0.872	0.894	0.08	0.04	-0.52	0.713	0.764	0.11	0.08	0.21	0.872	0.892
HABP2	ENSG00000148702	OMIM	AD	0.11	0.00	2.27	0.169	0.201	-	-	-	-	-	0.11	0.00	2.27	0.169	0.200
HADHA	ENSG00000084754	OMIM	AR	-	-	-	-	-	0.15	0.04	1.15	0.430	0.489	0.15	0.04	1.15	0.430	0.488
HAL	ENSG00000084110	OMIM	ADAR	0.19	0.20	-0.51	0.617	0.678	-	-	-	-	-	0.19	0.20	-0.51	0.617	0.675
HAX1	ENSG00000143575	OMIM	AR	0.11	0.00	2.01	0.220	0.259	-	-	-	-	-	0.11	0.00	2.01	0.220	0.259
HBB	ENSG00000244734	OMIM	AD	0.00	0.36	-2.66	0.085	0.102	0.23	0.92	-0.94	0.156	0.185	0.23	0.96	-0.94	0.156	0.185
HEPHL1	ENSG00000181333	OMIM	AR	0.15	0.16	0.21	0.827	0.852	-	-	-	-	-	0.15	0.16	0.21	0.827	0.851
HERC1	ENSG00000103657	OMIM	AR	0.00	0.16	-1.75	0.272	0.318	-	-	-	-	-	0.00	0.16	-1.75	0.272	0.318
HEXA	ENSG00000213614	OMIM	AR	-	-	-	-	-	0.11	0.04	-0.17	0.900	0.917	0.11	0.04	-0.17	0.900	0.917
HEXB	ENSG00000049860	OMIM	AR	0.11	0.00	1.04	0.542	0.604	0.30	0.12	0.64	0.485	0.546	0.38	0.12	0.78	0.383	0.439
HFE	ENSG00000010704	CPG	Not OMIM	0.11	0.00	1.10	0.518	0.580	-	-	-	-	-	0.15	0.00	1.64	0.316	0.367
HFM1	ENSG00000162669	OMIM	AR	0.19	0.00	2.64	0.109	0.130	-	-	-	-	-	0.19	0.00	2.64	0.109	0.130
HGD	ENSG00000113924	OMIM	AR	-	-	-	-	-	0.19	0.32	-1.63	0.053	0.063	0.23	0.32	-1.36	0.093	0.111
HGF	ENSG00000019991	OMIM	AR	0.00	0.12	-1.41	0.423	0.483	-	-	-	-	-	0.00	0.12	-1.41	0.423	0.480
HINT1	ENSG00000169567	OMIM	AR	-	-	-	-	-	0.15	0.04	0.22	0.865	0.885	0.19	0.04	1.37	0.345	0.399
HIST1H4E	ENSG00000198518	SOD	Not OMIM	0.04	0.16	-1.54	0.235	0.277	-	-	-	-	-	0.04	0.16	-1.54	0.235	0.276
HLA-C	ENSG00000204525	OMIM	Other	0.15	0.16	-1.20	0.229	0.269	-	-	-	-	-	0.15	0.16	-1.20	0.229	0.268
HLA-G	ENSG00000204632	OMIM	AD	0.11	0.00	1.58	0.342	0.397	-	-	-	-	-	0.11	0.00	1.58	0.342	0.396
HLCS	ENSG00000159267	OMIM	AR	0.15	0.00	1.96	0.227	0.267	0.11	0.00	1.84	0.263	0.308	0.19	0.00	2.07	0.196	0.232
HMCN1	ENSG00000143341	OMIM	AD	0.30	0.04	3.06	0.027	0.032	-	-	-	-	-	0.30	0.04	3.06	0.027	0.032
HMGCS2	ENSG00000134240	OMIM	AR	0.08	0.04	1.44	0.326	0.379	-	-	-	-	-	0.15	0.04	1.64	0.238	0.279
HNF1A	ENSG00000135100	CPG	Not OMIM	-	-	-	-	-	0.08	0.04	0.43	0.781	0.810	0.08	0.04	0.43	0.781	0.811
HNMT	ENSG00000150540	OMIM	ADAR	-	-	-	-	-	-	-	-	-	-	0.11	0.00	1.26	0.454	0.513
HOGA1	ENSG00000241935	OMIM	AR	-	-	-	-	-	0.11	0.12	0.87	0.482	0.542	0.11	0.16	0.53	0.642	0.697
HOXA11	ENSG00000005073	OMIM	AD	0.00	0.20	-1.87	0.253	0.297	-	-	-	-	-	0.00	0.20	-1.87	0.253	0.296
HOXA9	ENSG00000078399	SOD	Not OMIM	0.08	0.04	-0.54	0.705	0.758	-	-	-	-	-	0.08	0.04	-0.54	0.705	0.755
HOXC12	ENSG00000123407	SOD	Not OMIM	0.00	0.48	-1.77	0.248	0.292	-	-	-	-	-	0.00	0.48	-1.77	0.248	0.291
HPCA	ENSG00000121905	OMIM	AR	-	-	-	-	-	0.04	0.08	1.67	0.294	0.343	0.04	0.08	1.67	0.294	0.342
HPGD	ENSG00000164120	OMIM	AR	0.11	0.00	1.19	0.480	0.543	-	-	-	-	-	0.11	0.00	1.19	0.480	0.540
HPS1	ENSG00000107521	OMIM	AR	-	-	-	-	-	0.08	0.12	-0.85	0.465	0.525	0.08	0.12	-0.85	0.465	0.525
HRG	ENSG00000113905	OMIM	AD	0.04	0.28	-0.09	0.944	0.954	-	-	-	-	-	0.04	0.28	-0.09	0.944	0.953
HRNR	ENSG00000197915	SOD	Not OMIM	0.30	0.24	0.56	0.491	0.554	-	-	-	-	-	0.30	0.24	0.56	0.491	0.551
HSPB3	ENSG00000169271	OMIM	AD	0.04	0.08	-0.05	0.974	0.977	-	-	-	-	-	0.04	0.08	-0.05	0.974	0.977
HTRA1	ENSG00000166033	OMIM	ADAR	0.00	1.08	-4.41	0.003	0.003	-	-	-	-	-	0.00	1.12	-4.42	0.003	0.003
HYDIN	ENSG00000157423	OMIM	AR	0.08	0.20	-0.77	0.522	0.584	-	-	-	-	-	0.08	0.20	-0.77	0.522	0.581
HYOU1	ENSG00000149428	OMIM	AR	0.11	0.00	1.92	0.243	0.286	-	-	-	-	-	0.11	0.00	1.92	0.243	0.285
IARS2	ENSG00000067704	OMIM	AR	0.04	0.12	-0.55	0.709	0.762	-	-	-	-	-	0.04	0.12	-0.55	0.709	0.759
ICK	ENSG00000112144	OMIM	ADAR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.86	0.547	0.607
IDUA	ENSG00000127415	OMIM	AR	0.11	0.04	0.86	0.582	0.645	0.19	0.00	1.66	0.307	0.357	0.19	0.04	1.40	0.331	0.383
IFIH1	ENSG00000115267	OMIM	AD	0.38	0.00	4.30	0.036	0.043	-	-	-	-	-	0.38	0.00	4.30	0.036	0.043
IFNAR1	ENSG00000142166	SOD	Not OMIM	0.08	0.12	-0.33	0.783	0.814	-	-	-	-	-	0.08	0.12	-0.33	0.783	0.813
IFT140	ENSG00000187535	OMIM	AR	0.11	0.12	1.14	0.353	0.409	0.11	0.04	0.38	0.768	0.802	0.15	0.16	0.65	0.550	0.610
IFT172	ENSG00000138002	OMIM	AR	0.04	0.08	-0.38	0.793	0.821	0.08	0.08	2.50	0.065	0.078	0.11	0.16	1.37	0.237	0.278
IFT27	ENSG00000100360	OMIM	AR	0.08	0.04	0.51	0.736	0.782	-	-	-	-	-	0.08	0.04	0.51	0.736	0.780
IFT57	ENSG00000114446	OMIM	AR	0.11	0.04	-0.32	0.811	0.837	-	-	-	-	-	0.11	0.04	-0.32	0.811	0.836
IFT74	ENSG00000096872	OMIM	AR	0.15	0.04	1.12	0.471	0.534	-	-	-	-	-	0.15	0.04	1.12	0.471	0.532
IFT80	ENSG00000068885	OMIM	AR	-	-	-	-	-	0.08	0.16	0.44	0.750	0.790	0.08	0.16	0.44	0.750	0.790
IGF2	ENSG00000167244	OMIM	AD	0.26	0.16	-0.23	0.813	0.839	-	-	-	-	-	0.26	0.16	-0.23	0.813	0.838
IGHMBP2	ENSG00000132740	OMIM	AR	0.11	0.08	0.48	0.729	0.778	0.15	0.08	-0.13	0.920	0.935	0.19	0.12	-0.08	0.944	0.953
IGLL5	ENSG00000254709	SOD	Not OMIM	0.19	0.20	-0.01	0.990	0.991	-	-	-	-	-	0.19	0.20	-0.01	0.990	0.991
IKBKAP	ENSG00000070061	OMIM	AR	0.19	0.04	1.83	0.253	0.297	0.11	0.00	1.48	0.377	0.434	0.19	0.04	1.83	0.253	0.296
IL11RA	ENSG00000137070	OMIM	AR	0.08	0.04	1.11	0.482	0.544	-	-	-	-	-	0.08	0.04	1.11	0.482	0.542
IL12B	ENSG00000113302	OMIM	AR	0.00	0.12	-1.48	0.361	0.418	-	-	-	-	-	0.00	0.12	-1.48	0.361	0.416
IL12RB1	ENSG00000096996	OMIM	AR	0.08	0.08	0.81	0.607	0.669	-	-	-	-	-	0.08	0.08	0.81	0.607	0.666
IL17RC	ENSG00000163702	OMIM	AR	0.11	0.16	-0.63	0.553	0.615	-	-	-	-	-	0.11	0.16	-0.63	0.553	0.612
IL31RA	ENSG00000164509	OMIM	AD	0.19	0.04	3.37	0.079	0.095	-	-	-	-	-	0.19	0.04	3.37	0.079	0.095
IL36RN	ENSG00000136695	OMIM	AR	-	-	-	-	-	0.04	0.08	-1.22	0.381	0.438	0.08	0.08	-0.48	0.700	0.751
IMPG1	ENSG00000112706	OMIM	AD	0.08	0.28	-0.64	0.560	0.622	-	-	-	-	-	0.11	0.32	-1.00	0.327	0.379
IMPG2	ENSG00000081148	OMIM	ADAR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.80	0.579	0.638
INSL3	ENSG00000248099	OMIM	AD	0.11	0.00	1.16	0.491	0.554	0.00	0.12	-1.73	0.358	0.414	0.11	0.12	-0.20	0.881	0.900
INVS	ENSG00000119509	OMIM	AR	0.08	0.04	-0.09	0.948	0.957	-	-	-	-	-	0.08	0.04	-0.09	0.948	0.957
